"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"368",12,"Randy Bullock",DET,"K33","9","5 out of 5 stars","-35"
"369",12,"Jaret Patterson",WAS,"RB103","9","3 out of 5 stars","-29"
"370",12,"Jalen Guyton",LAC,"WR120","7","3 out of 5 stars","+25"
"371",12,"Kylin Hill",GB,"RB104","13","0 out of 5 stars","-28"
"372",12,"Tyler Kroft",NYJ,"TE48","6","3 out of 5 stars","-8"
"373",12,"Juwan Johnson",NO,"TE49","6","4 out of 5 stars","-38"
"374",12,"Adrian Peterson",FA,"RB105","-","-","-22"
"375",12,"John Ross",NYG,"WR121","10","3 out of 5 stars","-"
"376",12,"Tutu Atwell",LAR,"WR122","11","5 out of 5 stars","+21"
"377",12,"Mike Boone",DEN,"RB106","11","5 out of 5 stars","-23"
"378",12,"Sam Sloman",PIT,"K34","7","2 out of 5 stars","-"
"379",12,"Las Vegas Raiders",LV,"DST30","8","4 out of 5 stars","-72"
"380",12,"Detroit Lions",DET,"DST31","9","5 out of 5 stars","-39"
"381",12,"Dare Ogunbowale",JAC,"RB107","7","4 out of 5 stars","-"
"382",12,"Collin Johnson",JAC,"WR123","7","5 out of 5 stars","-"
"383",12,"Cincinnati Bengals",CIN,"DST32","10","3 out of 5 stars","-21"
"384",12,"Jacob Hollister",BUF,"TE50","7","2 out of 5 stars","+69"
"385",12,"Dede Westbrook",MIN,"WR124","7","3 out of 5 stars","-"
"386",12,"Cordarrelle Patterson",ATL,"WR125","6","4 out of 5 stars","-104"
"387",12,"Royce Freeman",DEN,"RB108","11","5 out of 5 stars","-61"
"388",12,"Steven Sims Jr.",BUF,"WR126","7","3 out of 5 stars","-"
"389",12,"Tylan Wallace",BAL,"WR127","8","2 out of 5 stars","+26"
"390",12,"Chris Thompson",FA,"RB109","-","-","-"
"391",12,"Greg Joseph",MIN,"K35","7","0 out of 5 stars","+48"
"392",12,"Cameron Brate",TB,"TE51","9","3 out of 5 stars","-29"
"393",12,"Tyler Johnson",TB,"WR128","9","2 out of 5 stars","+13"
"394",12,"Chris Conley",HOU,"WR129","10","3 out of 5 stars","-10"
"395",12,"Alex Collins",SEA,"RB110","9","1 out of 5 stars","-"
"396",12,"Golden Tate",FA,"WR130","-","-","-"
"397",12,"Auden Tate",CIN,"WR131","10","2 out of 5 stars","-"
"398",12,"Brevin Jordan",HOU,"TE52","10","4 out of 5 stars","-"
"399",12,"Khalil Herbert",CHI,"RB111","10","3 out of 5 stars","-"
"400",12,"James O'Shaughnessy",JAC,"TE53","7","4 out of 5 stars","+41"
"401",12,"Dez Fitzpatrick",TEN,"WR132","13","3 out of 5 stars","+3"
"402",12,"Devin Duvernay",BAL,"WR133","8","2 out of 5 stars","-"
"403",12,"Sam Ficken",TEN,"K36","13","2 out of 5 stars","-105"
"404",12,"Antonio Gandy-Golden",WAS,"WR134","9","3 out of 5 stars","-11"
"405",12,"Tyler Eifert",FA,"TE54","-","-","-"
"406",12,"Maxx Williams",ARI,"TE55","12","2 out of 5 stars","-"
"407",12,"Davis Mills",HOU,"QB39","10","4 out of 5 stars","+31"
"408",12,"Danny Amendola",FA,"WR135","-","-","-"
"409",12,"Cornell Powell",KC,"WR136","12","3 out of 5 stars","+39"
"410",12,"Kyle Juszczyk",SF,"RB112","6","3 out of 5 stars","-89"
"411",12,"Jacob Harris",LAR,"TE56","11","2 out of 5 stars","-"
"412",12,"Devine Ozigbo",JAC,"RB113","7","4 out of 5 stars","-"
"413",12,"Chase McLaughlin",CLE,"K37","13","2 out of 5 stars","-117"
"414",12,"Kylen Granson",IND,"TE57","14","4 out of 5 stars","-"
"415",12,"Foster Moreau",LV,"TE58","8","4 out of 5 stars","+14"
"416",12,"Jacob Eason",IND,"QB40","14","4 out of 5 stars","-5"
"417",12,"Larry Fitzgerald",FA,"WR137","-","-","-92"
"418",12,"Ryan Santoso",CAR,"K38","13","5 out of 5 stars","-"
"419",12,"Tucker McCann",TEN,"K39","13","2 out of 5 stars","-21"
"420",12,"Damiere Byrd",CHI,"WR138","10","3 out of 5 stars","-19"
"421",13,"Jalen Hurd",SF,"WR139","6","5 out of 5 stars","-"
"422",13,"Darwin Thompson",FA,"RB114","-","-","-"
"423",13,"Albert Wilson",MIA,"WR140","14","3 out of 5 stars","-18"
"424",13,"Devonta Freeman",NO,"RB115","6","2 out of 5 stars","-"
"425",13,"Trayveon Williams",CIN,"RB116","10","3 out of 5 stars","-"
"426",13,"David Moore",CAR,"WR141","13","5 out of 5 stars","-51"
"427",13,"Matt Ammendola",NYJ,"K40","6","5 out of 5 stars","-10"
"428",13,"J.J. Taylor",NE,"RB117","14","3 out of 5 stars","-51"
"429",13,"Cam Sims",WAS,"WR142","9","3 out of 5 stars","-30"
"430",13,"Gardner Minshew II",PHI,"QB41","14","4 out of 5 stars","+22"
"431",13,"Alshon Jeffery",FA,"WR143","-","-","-"
"432",13,"Geoff Swaim",TEN,"TE59","13","2 out of 5 stars","-"
"433",13,"Bryce Love",FA,"RB118","-","-","-"
"434",13,"Isaiah McKenzie",BUF,"WR144","7","3 out of 5 stars","-"
"435",13,"Darren Fells",DET,"TE60","9","4 out of 5 stars","-"
"436",13,"Travis Homer",SEA,"RB119","9","1 out of 5 stars","-"
"437",13,"Taylor Heinicke",WAS,"QB42","9","4 out of 5 stars","-2"
"438",13,"Jordan Love",GB,"QB43","13","2 out of 5 stars","-31"
"439",13,"Gerrid Doaks",MIA,"RB120","14","4 out of 5 stars","-6"
"440",13,"Mohamed Sanu",SF,"WR145","6","5 out of 5 stars","-13"
"441",13,"Freddie Swain",SEA,"WR146","9","1 out of 5 stars","-"
"442",13,"Aldrick Rosas",NO,"K41","6","4 out of 5 stars","-16"
"443",13,"Kene Nwangwu",MIN,"RB121","7","3 out of 5 stars","-"
"444",13,"Nick Boyle",BAL,"TE61","8","4 out of 5 stars","-"
"445",13,"Marcus Mariota",LV,"QB44","8","3 out of 5 stars","-54"
"446",13,"Cedrick Wilson",DAL,"WR147","7","1 out of 5 stars","-"
"447",13,"JaMycal Hasty",SF,"RB122","6","3 out of 5 stars","-123"
"448",13,"Ihmir Smith-Marsette",MIN,"WR148","7","3 out of 5 stars","-"
"449",13,"Lil'Jordan Humphrey",NO,"WR149","6","4 out of 5 stars","-"
"450",13,"Noah Gray",KC,"TE62","12","3 out of 5 stars","-"
"451",13,"Ty Montgomery",NO,"RB123","6","2 out of 5 stars","-29"
"452",13,"Dazz Newsome",CHI,"WR150","10","3 out of 5 stars","-33"
"453",13,"Mitchell Trubisky",BUF,"QB45","7","1 out of 5 stars","-23"
"454",13,"Hunter Long",MIA,"TE63","14","4 out of 5 stars","-"
"455",13,"Corey Clement",NYG,"RB124","10","2 out of 5 stars","-30"
"456",13,"Jace Sternberger",GB,"TE64","13","3 out of 5 stars","-"
"457",13,"Patrick Ricard",BAL,"RB125","8","4 out of 5 stars","-"
"458",13,"C.J. Ham",MIN,"RB126","7","3 out of 5 stars","-"
"459",13,"Frank Gore",FA,"RB127","-","-","-"
"460",13,"D'Onta Foreman",ATL,"RB128","6","2 out of 5 stars","-81"
